name,brand,url,cluster,aura_confidence,aura_sensuality,aura_formality,aura_intensity,aura_uniqueness,aura_approachability,aura_maturity,aura_extroversion,performance,longevity,sillage,uniqueness_idf,dominant_accord_1,dominant_accord_2,dominant_accord_3
Alien Man Mirage Mugler for men,Mugler,https://www.fragrantica.com/perfume/Mugler/Alien-Man-Mirage-59293.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.8985246035918679,0.80251008160767,0.8193561693776197,0.8306854101446361,0.604,0.588,0.62,0.31046649714376107,woody,aquatic,mineral
A*Men Pure Malt Creation Mugler for men,Mugler,https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Malt-Creation-19419.html,Sweet-Gourmand,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.9241194153381729,0.80251008160767,0.8193561693776197,0.8306854101446361,0.7629999999999999,0.7989999999999999,0.727,0.3856744550003156,woody,sweet,warm spicy
Mirror Mirror Collection - Miroir Des Vanites Mugler for men,Mugler,https://www.fragrantica.com/perfume/Mugler/Mirror-Mirror-Collection-Miroir-Des-Vanites-2370.html,Citrus-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5822548407304406,0.80251008160767,0.8193561693776197,0.8306854101446361,0.6675,0.667,0.668,0.2606849993431638,aromatic,citrus,woody
The Taste of Fragrance A*Men Mugler for men,Mugler,https://www.fragrantica.com/perfume/Mugler/The-Taste-of-Fragrance-A-Men-13605.html,Sweet-Gourmand,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6764674218581315,0.80251008160767,0.8193561693776197,0.8306854101446361,0.7475,0.782,0.713,0.28148583430597846,warm spicy,vanilla,coffee
Acqua Brasilis O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Acqua-Brasilis-7346.html,Citrus-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5665312822588074,0.80251008160767,0.8193561693776197,0.8306854101446361,0.427,0.432,0.422,0.23673107666953086,citrus,fresh spicy,aromatic
Carpe Diem O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Carpe-Diem-7348.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.43621739717451075,0.80251008160767,0.8193561693776197,0.8306854101446361,0.55,0.517,0.583,0.20386791124299297,fresh spicy,aromatic,citrus
Clash O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Clash-103715.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.8040256763515591,0.80251008160767,0.8193561693776197,0.8306854101446361,0.46,0.47200000000000003,0.448,0.3164745939821052,aromatic,fruity,woody
Classic O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Classic-34010.html,Green-Fresh,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5838794310680946,0.80251008160767,0.8193561693776197,0.8306854101446361,0.609,0.543,0.675,0.2194522194073573,woody,citrus,aromatic
Dimitri O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Dimitri-7351.html,Green-Fresh,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5413164986594586,0.80251008160767,0.8193561693776197,0.8306854101446361,0.375,0.373,0.377,0.23900156817065799,aromatic,woody,fresh spicy
Dimitri On the Rocks O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Dimitri-On-the-Rocks-18987.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.7711141176541747,0.80251008160767,0.8193561693776197,0.8306854101446361,0.4605,0.454,0.46699999999999997,0.28259932826289064,aromatic,woody,vodka
Dimitri Redvolution O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Dimitri-Redvolution-16107.html,Spicy-Oriental,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.4444870269363578,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5695,0.496,0.643,0.21902226884990073,amber,citrus,fresh spicy
Eros O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Eros-34050.html,Blue-Fresh,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.3672121783027404,0.80251008160767,0.8193561693776197,0.8306854101446361,0.6500000000000001,0.5800000000000001,0.7200000000000001,0.22660268942804515,woody,citrus,floral
Galbe O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Galbe-15408.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.46476628992639213,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5045,0.514,0.495,0.22903944322027045,aromatic,fresh spicy,lavender
Homme.com O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Homme-com-7353.html,Blue-Fresh,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6368046541355715,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5780000000000001,0.571,0.5850000000000001,0.24769484121992916,aromatic,woody,warm spicy
Horizonte O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Horizonte-63509.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.36816488321792057,0.80251008160767,0.8193561693776197,0.8306854101446361,0.511,0.514,0.508,0.18474383998002686,woody,aromatic,fresh spicy
Linked He O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Linked-He-7354.html,Blue-Fresh,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6332293323223853,0.80251008160767,0.8193561693776197,0.8306854101446361,0.4905,0.494,0.487,0.27121381770307723,citrus,floral,aquatic
Malbec Pure Gold O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Malbec-Pure-Gold-111625.html,Spicy-Oriental,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.7611937288835247,0.80251008160767,0.8193561693776197,0.8306854101446361,0.694,0.724,0.664,0.2510542639917074,warm spicy,woody,amber
North Wind O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/North-Wind-7356.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6553968037210804,0.80251008160767,0.8193561693776197,0.8306854101446361,0.5585,0.513,0.6040000000000001,0.24045502502062735,aromatic,amber,woody
Quasar Graffiti O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Quasar-Graffiti-59224.html,Barbershop,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.6247609998107129,0.80251008160767,0.8193561693776197,0.8306854101446361,0.42700000000000005,0.44000000000000006,0.41400000000000003,0.23319702179318444,green,aromatic,fresh spicy
Speed Man O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Speed-Man-7360.html,Citrus-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.5095384999359054,0.80251008160767,0.8193561693776197,0.8306854101446361,0.4754999999999999,0.424,0.5269999999999999,0.23423203938003684,aromatic,fresh spicy,citrus
Triumph O Boticário for men,Boticário,https://www.fragrantica.com/perfume/O-Boticario/Triumph-43648.html,Woody-Aromatic,0.8315622415746484,0.8036821267816001,0.840168373075544,0.8565707547161872,0.4903330930387302,0.80251008160767,0.8193561693776197,0.8306854101446361,0.7075,0.7040000000000001,0.7110000000000001,0.20169871838135178,woody,aromatic,amber
